id,title,release_date,duration,genres,directors,actors,nationality,press_rating,number_of_press_rating,spec_rating,number_of_spec_rating,summary,sentiment_score,sentiment_tag,tone_tags,mood_tags,theme_tags,all_tags,features,recommendations
474,L'Acrobate,1976-03-10,101.0,Comédie dramatique,Jean-Daniel Pollet,"Claude Melki, Laurence Bru, Guy Marchand",français,,,3.4,358.0,"Léon est un garçon timide et solitaire qui travaille aux bains-douches-saunas. Sa seule compagnie réside en ses discussions avec les prostituées du quartier dont l’une d’elles, Fumée, lui fait découvrir le monde du tango. Bouleversé par cet univers, Léon décide d’apprendre à le danser au point de participer à des compétitions.",0.0,neutre,"dramatique,comique",romantique,"amour,amitié,trahison",Comédie dramatique,"Léon est un garçon timide et solitaire qui travaille aux bains-douches-saunas. Sa seule compagnie réside en ses discussions avec les prostituées du quartier dont l’une d’elles, Fumée, lui fait découvrir le monde du tango. Bouleversé par cet univers, Léon décide d’apprendre à le danser au point de participer à des compétitions. Comédie dramatique Comédie dramatique","[366, 265, 88]"
479,Les Demoiselles de Rochefort,1967-03-08,125.0,Comédie musicale,Jacques Demy,"Catherine Deneuve, Françoise Dorléac, Danielle Darrieux",français,,,3.7,5129139.0,"Delphine et Solange sont deux jumelles de 25 ans, ravissantes et spirituelles. Delphine, la blonde, donne des leçons de danse et Solange, la rousse, des cours de solfège. Elle vivent dans la musique comme d'autres vivent dans la lune et rêvent de rencontrer le grand amour au coin de la rue. Justement des forains arrivent en ville et fréquentent le bar que tient la mère des jumelles. Une grande foire se prépare et un marin rêveur cherche son idéal féminin...",0.4588,positif,"comique,dramatique","romantique,énergique,angoissant","amour,amitié",Comédie musicale,"Delphine et Solange sont deux jumelles de 25 ans, ravissantes et spirituelles. Delphine, la blonde, donne des leçons de danse et Solange, la rousse, des cours de solfège. Elle vivent dans la musique comme d'autres vivent dans la lune et rêvent de rencontrer le grand amour au coin de la rue. Justement des forains arrivent en ville et fréquentent le bar que tient la mère des jumelles. Une grande foire se prépare et un marin rêveur cherche son idéal féminin... Comédie musicale Comédie musicale","[208, 160, 366]"
481,Ordet,2016-04-29,126.0,Drame,Carl Theodor Dreyer,"Henrik Malberg, Emil Hass Christensen, Preben Lerdorff Rye",danois,,,4.4,22732.0,"En 1930, dans un village du Jutland, des discordes religieuses surviennent entre deux familles lorsqu'il est question d'unir par le mariage deux de leurs enfants.",0.0,neutre,"dramatique,comique,sombre","angoissant,énergique","survie,famille,trahison",Drame,"En 1930, dans un village du Jutland, des discordes religieuses surviennent entre deux familles lorsqu'il est question d'unir par le mariage deux de leurs enfants. Drame Drame","[12, 470, 127]"
484,"Pale Rider, le cavalier solitaire",1985-08-14,113.0,Western,Clint Eastwood,"Clint Eastwood, Michael Moriarty, Carrie Snodgress",américain,,,4.0,5745196.0,"Les derniers chercheurs d'or indépendants de LaHood, bourgade minière de Californie, sont harcelés par la bande de Coy LaHood, fondateur de la ville qui veut s'approprier leur concession. Au moment où les mineurs pacifiques sont prêts à abandonner la lutte, surgit de la montagne un cavalier solitaire tout de noir vêtu. Nul ne connaît son nom, son passé, ses origines. Hull Barret, opposé depuis longtemps à Coy LaHood, l'accueille sous son toit. L'homme ne va pas tarder à prouver ses qualités de tireur.",-0.128,neutre,"sombre,comique,dramatique","énergique,angoissant,romantique","vengeance,amitié,trahison",Western,"Les derniers chercheurs d'or indépendants de LaHood, bourgade minière de Californie, sont harcelés par la bande de Coy LaHood, fondateur de la ville qui veut s'approprier leur concession. Au moment où les mineurs pacifiques sont prêts à abandonner la lutte, surgit de la montagne un cavalier solitaire tout de noir vêtu. Nul ne connaît son nom, son passé, ses origines. Hull Barret, opposé depuis longtemps à Coy LaHood, l'accueille sous son toit. L'homme ne va pas tarder à prouver ses qualités de tireur. Western Western","[376, 217, 379]"
493,La règle du jeu,1939-07-08,110.0,Comédie dramatique,Jean Renoir,"Roland Toutain, Nora Gregor, Marcel Dalio",français,5.0,1.0,4.0,2246105.0,"Le marquis de la Chesnaye organise une partie de chasse sur son domaine de Sologne. Un pléiade d'invités arrive au château dont André Jurieu, héros national depuis sa traversée de l'Atlantique en vingt-trois heures. Un exploit réalisé pour les beaux yeux de la marquise Christine La Chesnaye, en vain. Dans une société où nobles et domestiques sont soumis à la règle des conventions, Jurieu, par cet amour, bouleverse le jeu.",-0.4939,négatif,"dramatique,comique,sombre","pessimiste,romantique,énergique","amour,amitié,famille",Comédie dramatique,"Le marquis de la Chesnaye organise une partie de chasse sur son domaine de Sologne. Un pléiade d'invités arrive au château dont André Jurieu, héros national depuis sa traversée de l'Atlantique en vingt-trois heures. Un exploit réalisé pour les beaux yeux de la marquise Christine La Chesnaye, en vain. Dans une société où nobles et domestiques sont soumis à la règle des conventions, Jurieu, par cet amour, bouleverse le jeu. Comédie dramatique Comédie dramatique","[241, 265, 2]"
494,Jour de colère,2016-05-04,92.0,Drame,Carl Theodor Dreyer,"Preben Lerdorff Rye, Throkild Roose, Lisbeth Movin",danois,,,4.3,15723.0,"En 1623, dans un village du Danemark, le pasteur Absalon vit avec sa mère, Merete, et sa seconde épouse, Anne, qu'il a recueillie. Celle-ci ignore tout de ses origines et n'a jamais éprouvé les soubresauts de l'amour. L'irruption presque simultanée dans leur demeure de Martin, le fils qu'Absalon a eu d'un premier lit, et de la vieille Marte Herlofs, accusée de sorcellerie, qui a bien connu la mère d'Anne, va bouleverser la vie de la jeune femme.",-0.4588,négatif,"sombre,dramatique,comique","pessimiste,romantique,nostalgique","famille,amour,vengeance",Drame,"En 1623, dans un village du Danemark, le pasteur Absalon vit avec sa mère, Merete, et sa seconde épouse, Anne, qu'il a recueillie. Celle-ci ignore tout de ses origines et n'a jamais éprouvé les soubresauts de l'amour. L'irruption presque simultanée dans leur demeure de Martin, le fils qu'Absalon a eu d'un premier lit, et de la vieille Marte Herlofs, accusée de sorcellerie, qui a bien connu la mère d'Anne, va bouleverser la vie de la jeune femme. Drame Drame","[142, 312, 160]"
495,Les Parapluies de Cherbourg,1964-02-19,91.0,Comédie musicale,Jacques Demy,"Catherine Deneuve, Nino Castelnuovo, Anne Vernon","ouest-allemand, français",5.0,2.0,3.5,4083143.0,"Madame Emery et sa fille Geneviève tiennent une boutique de parapluies. La jeune femme est amoureuse de Guy, un garagiste. Mais celui-ci part pour la guerre d'Algérie. Enceinte et poussée par sa mère, Geneviève épouse Roland, un riche bijoutier.",0.0,neutre,"comique,dramatique","romantique,énergique","amour,famille,amitié",Comédie musicale,"Madame Emery et sa fille Geneviève tiennent une boutique de parapluies. La jeune femme est amoureuse de Guy, un garagiste. Mais celui-ci part pour la guerre d'Algérie. Enceinte et poussée par sa mère, Geneviève épouse Roland, un riche bijoutier. Comédie musicale Comédie musicale","[238, 313, 139]"
502,L'Arnaqueur,2006-11-15,134.0,Drame,Robert Rossen,"Paul Newman, Jackie Gleason, Piper Laurie",américain,4.0,6.0,3.9,68153.0,"Eddie Felson est un brillant joueur de billard mais également un escroc à la petite semaine qui se sert de son talent pour plumer les joueurs débutants. Il se rend à New York afin de réaliser son rêve, battre le légendaire champion Minnesota Fats. Après une nuit de combat acharné, Minnesota finit par l’emporter. Désormais fauché, Eddie n’a plus qu’une idée en tête, prendre sa revanche. Il fait la rencontre de Sarah, une étudiante alcoolique qui le suivra tout au long de son périple, et de Bert Gordon. Ce dernier accepte de devenir son coach et de lui apprendre les ficelles.",0.5859,positif,"comique,dramatique,sérieux","énergique,romantique,angoissant","vengeance,rédemption,amitié",Drame,"Eddie Felson est un brillant joueur de billard mais également un escroc à la petite semaine qui se sert de son talent pour plumer les joueurs débutants. Il se rend à New York afin de réaliser son rêve, battre le légendaire champion Minnesota Fats. Après une nuit de combat acharné, Minnesota finit par l’emporter. Désormais fauché, Eddie n’a plus qu’une idée en tête, prendre sa revanche. Il fait la rencontre de Sarah, une étudiante alcoolique qui le suivra tout au long de son périple, et de Bert Gordon. Ce dernier accepte de devenir son coach et de lui apprendre les ficelles. Drame Drame","[17, 511, 290]"
505,Vendredi 13,1981-02-11,96.0,"Epouvante-horreur, Thriller",Sean S. Cunningham,"Betsy Palmer, Adrienne King, Jeannine Taylor",américain,,,2.8,4433282.0,"En 1957, un jeune garçon, prénommé Jason, meurt noyé au camp de Crystal Lake. L'année suivante, les deux responsables du camp sont tués. Crystal Lake ferme. Mais en 1980, Steve Christy décide de le rouvrir un vendredi 13, jour anniversaire des décès survenus vingt-trois ans auparavant. Lors de la préparation du camp pour son ouverture, les moniteurs du centre disparaissent les uns après les autres pendant la nuit...",0.1027,neutre,"sombre,dramatique,comique","romantique,pessimiste","famille,vengeance,trahison","Thriller,Epouvante-horreur","En 1957, un jeune garçon, prénommé Jason, meurt noyé au camp de Crystal Lake. L'année suivante, les deux responsables du camp sont tués. Crystal Lake ferme. Mais en 1980, Steve Christy décide de le rouvrir un vendredi 13, jour anniversaire des décès survenus vingt-trois ans auparavant. Lors de la préparation du camp pour son ouverture, les moniteurs du centre disparaissent les uns après les autres pendant la nuit... Thriller,Epouvante-horreur Epouvante-horreur, Thriller","[8, 188, 344]"
506,The Mosquito Coast,1987-02-25,118.0,"Aventure, Drame, Thriller",Peter Weir,"Harrison Ford, Helen Mirren, River Phoenix",américain,,,3.2,74075.0,"Allie Fox ne trouve plus l'Amérique à sa hauteur, c'est un visionnaire, un inventeur maniaque et surdoué, l'idole de sa femme et de ses enfants. Son pays est devenu un rêve avorté, un pays tombe aux mains de boutiquiers médiocres. Des que l'occasion se présente, il quitte ce vieux monde pour le Honduras où il débarque avec toute sa famille en pleine jungle ""au royaume des moustiques"". Voila un pays enfin à sa mesure. Il va faire des miracles et son esprit inventif s'épanouit. Mais les dieux jalousent ce titan.",0.1027,neutre,"dramatique,sombre,ironique","angoissant,pessimiste,nostalgique","famille,amitié,amour","Thriller,Aventure,Drame","Allie Fox ne trouve plus l'Amérique à sa hauteur, c'est un visionnaire, un inventeur maniaque et surdoué, l'idole de sa femme et de ses enfants. Son pays est devenu un rêve avorté, un pays tombe aux mains de boutiquiers médiocres. Des que l'occasion se présente, il quitte ce vieux monde pour le Honduras où il débarque avec toute sa famille en pleine jungle ""au royaume des moustiques"". Voila un pays enfin à sa mesure. Il va faire des miracles et son esprit inventif s'épanouit. Mais les dieux jalousent ce titan. Thriller,Aventure,Drame Aventure, Drame, Thriller","[323, 206, 151]"
511,Perceval le Gallois,1979-02-07,140.0,"Drame, Historique",Eric Rohmer,"Fabrice Luchini, André Dussollier, Marc Eyraud",français,,,2.4,13827.0,"Le jeune Perceval rêve de devenir chevalier. Il quitte le château de sa mère, et se rend à la cour du roi Arthur. Il apprend le maniement des armes, venge la reine d'une offense et décide de retourner chez lui. Sur son chemin surgit un bien étrange château ou il est invité à demeurer.",-0.25,négatif,"comique,dramatique,sombre","romantique,énergique,angoissant","vengeance,rédemption,trahison","Historique,Drame","Le jeune Perceval rêve de devenir chevalier. Il quitte le château de sa mère, et se rend à la cour du roi Arthur. Il apprend le maniement des armes, venge la reine d'une offense et décide de retourner chez lui. Sur son chemin surgit un bien étrange château ou il est invité à demeurer. Historique,Drame Drame, Historique","[264, 312, 502]"
515,Le Ministère de la peur,1948-07-07,86.0,"Policier, Drame",Fritz Lang,"Alan Napier, Ray Milland, Marjorie Reynolds",américain,,,4.1,15528.0,"Un homme gagne, lors d'une vente de charité, un gâteau bourré de microfilms et se retrouve mêlé, malgré lui, à une inquiétante affaire d'espionnage au cours de laquelle il est poursuivi par les services secrets nazis.",0.0,neutre,"dramatique,sombre,comique","angoissant,romantique,énergique","trahison,rédemption,vengeance","Policier,Drame","Un homme gagne, lors d'une vente de charité, un gâteau bourré de microfilms et se retrouve mêlé, malgré lui, à une inquiétante affaire d'espionnage au cours de laquelle il est poursuivi par les services secrets nazis. Policier,Drame Policier, Drame","[397, 306, 270]"
529,Drôle de drame,1937-10-20,98.0,Comédie,Marcel Carné,"Louis Jouvet, Françoise Rosay, Michel Simon",français,,,3.6,49947.0,"Londres 1900. Le très sérieux professeur de botanique Irwin Molyneux n'est autre que Felix Chapel, auteur de romans policiers. L'évèque de Bedford, cousin d'Irwin, n'apprecie guère ce genre de littérature et le déclare bien fort lors d'un souper où il est invité chez les Molyneux. L'absence de Margaret, la femme de Molyneux, à ce souper, va déclencher une série de quiproquos fort amusants.",0.0,neutre,"sérieux,comique,satirique","romantique,énergique","amour,amitié,famille",Comédie,"Londres 1900. Le très sérieux professeur de botanique Irwin Molyneux n'est autre que Felix Chapel, auteur de romans policiers. L'évèque de Bedford, cousin d'Irwin, n'apprecie guère ce genre de littérature et le déclare bien fort lors d'un souper où il est invité chez les Molyneux. L'absence de Margaret, la femme de Molyneux, à ce souper, va déclencher une série de quiproquos fort amusants. Comédie Comédie","[279, 511, 232]"
530,La Fureur du dragon,1974-12-18,98.0,"Arts Martiaux, Action",Bruce Lee,"Bruce Lee, Nora Miao, Chuck Norris",hong-kongais,,,3.8,6164172.0,"Un aubergiste, propriétaire d'un restaurant chinois est assailli par un promoteur qui veut l'obliger à vendre son établissement. En désespoir de cause, l'aubergiste demande l'aide de Tang Lung alias ""Dragon"".",0.0,neutre,"dramatique,sombre,comique","angoissant,romantique,énergique","vengeance,rédemption,trahison","Arts Martiaux,Action","Un aubergiste, propriétaire d'un restaurant chinois est assailli par un promoteur qui veut l'obliger à vendre son établissement. En désespoir de cause, l'aubergiste demande l'aide de Tang Lung alias ""Dragon"". Arts Martiaux,Action Arts Martiaux, Action","[467, 387, 106]"
531,La Mort aux trousses,1959-10-21,136.0,"Policier, Aventure",Alfred Hitchcock,"Cary Grant, Eva Marie Saint, James Mason",américain,4.6,5.0,4.3,16979427.0,"Le publiciste Roger Tornhill se retrouve par erreur dans la peau d'un espion. Pris entre une mystérieuse organisation qui cherche à le supprimer et la police qui le poursuit, Tornhill est dans une situation bien inconfortable. Il fuit à travers les Etats-Unis et part à la recherche d'une vérité qui se révèlera très surprenante.",0.0,neutre,"sombre,dramatique,ironique","angoissant,romantique","rédemption,trahison,pouvoir","Policier,Aventure","Le publiciste Roger Tornhill se retrouve par erreur dans la peau d'un espion. Pris entre une mystérieuse organisation qui cherche à le supprimer et la police qui le poursuit, Tornhill est dans une situation bien inconfortable. Il fuit à travers les Etats-Unis et part à la recherche d'une vérité qui se révèlera très surprenante. Policier,Aventure Policier, Aventure","[301, 299, 448]"
